src_id,abbrev,commissie,opmerking
rekenkamer__kamerstuk:2016:06:09:beantwoording-kamervragen-op-het-rapport-resultaten-verantwoordingsonderzoek-2015-bij-het-ministerie-van-vws,VWS,"Vaste commissie voor Volksgezondheid, Welzijn en Sport",
rekenkamer__kamerstuk:2016:06:20:beantwoording-kamervragen-over-het-rapport-aanpak-van-laaggeletterdheid-kopie,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2017:06:01:beantwoording-kamervragen-over-het-rapport-zicht-op-belastingverlichtende-regelingen,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2017:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-de-koning,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2017:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-de-overige-hoge-colleges-van-staat-en-kabinetten-van-de-gouverneurs,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2017:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-de-staten-generaal,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2017:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-economische-zaken,EZ,Vaste commissie voor Economische Zaken,
rekenkamer__kamerstuk:2017:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-infrastructuur-en-milieu,IenW,Vaste commissie voor Infrastructuur en Milieu,
rekenkamer__kamerstuk:2017:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-ocw,OCW,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2017:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-szw,SZW,,
rekenkamer__kamerstuk:2017:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-veiligheid-en-justitie,JenV,Vaste commissie voor Veiligheid en Justitie,
rekenkamer__kamerstuk:2017:06:12:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-financien,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2017:06:12:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-de-staat-van-de-rijksverantwoording,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2017:06:12:beantwoording-vragen-tweede-kamer-over-het-rapport-bij-de-nationale-verklaring-2017,RIJKS,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2017:06:13:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-bzk,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2017:06:13:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-vws,VWS,,
rekenkamer__kamerstuk:2017:06:13:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-wonen-en-rijksdienst,BZK,Vaste commissie voor Wonen en Ruimtelijke Ordening,
rekenkamer__kamerstuk:2018:04:23:beantwoording-vragen-tweede-kamer-bij-rapport-vastgoed-universiteiten,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2018:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-economische-zaken-commissie-ezk,EZK,Vaste commissie voor Economische Zaken en Klimaat,
rekenkamer__kamerstuk:2018:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-economische-zaken-commissie-lnv,LNV,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2018:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-financien-en-nationale-schuld,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2018:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-ienm,IenW,,
rekenkamer__kamerstuk:2018:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-szw,SZW,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2018:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-justitie-en-veiligheid,JenV,Vaste commissie voor Justitie en Veiligheid,
rekenkamer__kamerstuk:2018:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-vws,VWS,"Vaste commissie voor Volksgezondheid, Welzijn en Sport",
rekenkamer__kamerstuk:2018:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-onderwijs-cultuur-en-wetenschap,OCW,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2018:06:11:beantwoording-kamervragen-adviescommissie-verslaggevingsstelsel-rijksoverheid,FIN,Vaste commissie voor Financiën,
